Main-related Command Support List;;
Code;Means;'TX-NR609
"01"-"1E";sets Preset No. 1 - 30 ( In hexadecimal representation);No
"UP";sets Preset No. Wrap-Around Up;Yes
"DOWN";sets Preset No. Wrap-Around Down;Yes
"QSTN";gets The Preset No.;Yes
"PRM" - Preset Memory Command (Include Tuner Pack Model Only);;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
"01"-"1E";sets Preset No. 1 - 30 ( In hexadecimal representation);No
"RDS" - RDS Information Command (RDS Model Only);;
“00”;Display RT Information*1;Yes
“01”;Display PTY Information;Yes
“02”;Display TP Information;Yes
“UP”;Display RDS Information Wrap-Around Change;Yes
"PTS" - PTY Scan Command (RDS Model Only);;
“00”-“1E”;sets PTY No “0 - 30” ( In hexadecimal representation);Yes
“ENTER”;Finish PTY Scan;Yes
"TPS" - TP Scan Command (RDS Model Only);;
“”;Start TP Scan (When Don’t Have Parameter);Yes
“ENTER”;Finish TP Scan;Yes
"XCN" - XM Channel Name Info (XM Model Only);;
"nnnnnnnnnn";XM Channel Name;No
"QSTN";gets XM Channel Name;No
"XAT" - XM Artist Name Info (XM Model Only);;
"nnnnnnnnnn";XM Artist Name;No
"QSTN";gets XM Artist Name;No
"XTI" - XM Title Info (XM Model Only);;
"nnnnnnnnnn";XM Title;No
"QSTN";gets XM Title;No
"XCH" - XM Channel Number Command (XM Model Only);;
"000"-"255";XM Channel Number  “000 - 255” ;No
"UP";sets XM Channel Wrap-Around Up;No
"DOWN";sets XM Channel Wrap-Around Down;No
"QSTN";gets XM Channel Number;No
"XCT" - XM Category Command (XM Model Only);;
"nnnnnnnnnn";XM Category Info;No
"UP";sets XM Category Wrap-Around Up;No
"DOWN";sets XM Category Wrap-Around Down;No
"QSTN";gets XM Category;No
"SCN" - SIRIUS Channel Name Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Channel Name;No
"QSTN";gets SIRIUS Channel Name;No
"SAT" - SIRIUS Artist Name Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Artist Name;No
"QSTN";gets SIRIUS Artist Name;No
"STI" - SIRIUS Title Info (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Title;No
"QSTN";gets SIRIUS Title;No
"SCH" - SIRIUS Channel Number Command (SIRIUS Model Only);;
"000"-"255";SIRIUS Channel Number  “000 - 255” ;No
"UP";sets SIRIUS Channel Wrap-Around Up;No
"DOWN";sets SIRIUS Channel Wrap-Around Down;No
"QSTN";gets SIRIUS Channel Number;No
"SCT" - SIRIUS Category Command (SIRIUS Model Only);;
"nnnnnnnnnn";SIRIUS Category Info;No
"UP";sets SIRIUS Category Wrap-Around Up;No
"DOWN";sets SIRIUS Category Wrap-Around Down;No
"QSTN";gets SIRIUS Category;No
"SLK" - SIRIUS Parental Lock Command (SIRIUS Model Only);;
"nnnn";Lock Password (4Digits);No
"INPUT";displays "Please input the Lock password";No
"WRONG";displays "The Lock password is wrong";No
"HAT" - HD Radio Artist Name Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Artist Name (variable-length, 64 digits max);No
"QSTN";gets HD Radio Artist Name;No
"HCN" - HD Radio Channel Name Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Channel Name (Station Name) (7 digits);No
"QSTN";gets HD Radio Channel Name;No
"HTI" - HD Radio Title Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Title (variable-length, 64 digits max);No
"QSTN";gets HD Radio Title;No
"HDS" - HD Radio Detail Info (HD Radio Model Only);;
"nnnnnnnnnn";HD Radio Title;No
"QSTN";gets HD Radio Title;No
"HPR" - HD Radio Channel Program Command (HD Radio Model Only);;
"01"-"08";sets directly HD Radio Channel Program;No
"QSTN";gets HD Radio Channel Program;No
"HBL" - HD Radio Blend Mode Command (HD Radio Model Only);;
"00";sets HD Radio Blend Mode "Auto";No
"01";sets HD Radio Blend Mode "Analog";No
"QSTN";gets the HD Radio Blend Mode Status;No
"HTS" - HD Radio Tuner Status (HD Radio Model Only);;
"mmnnoo";'HD Radio Tuner Status (3 bytes)
mm -> "00" not HD, "01" HD
nn -> current Program "01"-"08"
oo -> receivable Program (8 bits are represented in hexadecimal notation. Each bit shows receivable or not.) ';No
"QSTN";gets the HD Radio Tuner Status;No
The TUNER/XM/SIRIUS/HD Radio function is shared by the MAIN and ZONE side.;;
*1:RDS information Command in RBDS Model, is only available Display RT information.;;
;;
"NTC" - Net-Tune Operation Command (Net-Tune Model Only before TX-NR1000);;
"NTC" - Network/USB Operation Command (Network Model Only after TX-NR905);;
"PLAY";PLAY KEY;Yes
"STOP";STOP KEY;Yes
"PAUSE";PAUSE KEY;Yes
"TRUP";TRACK UP KEY;Yes
"TRDN";TRACK DOWN KEY;Yes
"FF";FF KEY (CONTINUOUS*);Yes
"REW";REW KEY (CONTINUOUS*);Yes
"REPEAT";REPEAT KEY;Yes
"RANDOM";RANDOM KEY;Yes
"DISPLAY";DISPLAY KEY;Yes
"ALBUM";ALBUM KEY;No
"ARTIST";ARTIST KEY;No
"GENRE";GENRE KEY;No
"PLAYLIST";PLAYLIST KEY;No
"RIGHT";RIGHT KEY;Yes
"LEFT";LEFT KEY;Yes
"UP";UP KEY;Yes
"DOWN";DOWN KEY;Yes
"SELECT";SELECT KEY;Yes
"0";0 KEY;Yes
"1";1 KEY;Yes
"2";2 KEY;Yes
"3";3 KEY;Yes
"4";4 KEY;Yes
"5";5 KEY;Yes
"6";6 KEY;Yes
"7";7 KEY;Yes
"8";8 KEY;Yes
"9";9 KEY;Yes
"DELETE";DELETE KEY;Yes
"CAPS";CAPS KEY;Yes
"LOCATION";LOCATION KEY;No
"LANGUAGE";LANGUAGE KEY;No
"SETUP";SETUP KEY;No
"RETURN";RETURN KEY;Yes
"CHUP";CH UP(for iRadio);Yes
"CHDN";CH DOWN(for iRadio);Yes
"MENU";MENU;Yes
"TOP";TOP MENU;Yes
"MODE";MODE(for iPod) STD<->EXT;Yes
"LIST";LIST <-> PLAYBACK;Yes
* FFW/REW Net-tune commands must be sent continuously, with no more than 100ms delay between codes;;
"NAT" -NET/USB Artist Name Info;;
"nnnnnnnnnn";NET/USB Artist Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnnnnn";NET/USB Artist Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets iPod Artist Name;Yes
"NAL" - NET/USB Album Name Info;;
"nnnnnnn";NET/USB Album Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnn";NET/USB Album Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets iPod Album Name;Yes
"NTI" - NET/USB Title Name;;
"nnnnnnnnnn";NET/USB Title Name (variable-length, 64 ASCII letters max);Yes
"nnnnnnnnnn";NET/USB Title Name (variable-length, 64 Unicode letters [UTF-8 encoded] max , for Network Control only);Yes
"QSTN";gets HD Radio Title;Yes
"NTM" - NET/USB Time Info;;
"mm:ss/mm:ss";NET/USB Time Info (Elapsed time/Track Time Max 99:59);Yes
"QSTN";gets iPod Time Info;Yes
"NTR" - NET/USB Track Info;;
"cccc/tttt";NET/USB Track Info (Current Track/Toral Track Max 9999);Yes
"QSTN";gets iPod Time Info;Yes
"NST" - NET/USB Play Status;;
"prs";'NET/USB Play Status (3 letters)
p -> Play Status: "S": STOP, "P": Play, "p": Pause, "F": FF, "R": FR
r -> Repeat Status: "-": Off, "R": All, "F": Folder, "1": Repeat 1,
s -> Shuffle Status: "-": Off, "S": All , "A": Album, "F": Folder';Yes
"QSTN";gets the Net/USB Status;Yes
"NPR" - Internet Radio Preset Command;;
"01"-"28";sets Preset No. 1 - 40 ( In hexadecimal representation);Yes
"SET";preset memory current station;Yes
"NLS" - NET/USB List Info;;
"tlpnnnnnnnnnn";'NET/USB List Info
t ->Information Type (A : ASCII letter, C : Cursor Info)
when t = A,
